given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B
lucy,drought,1,solander place,janefield,moonah west,4879,vic,19230101,7649261,lucy,hemsmings,4425,mimosa close,kinloch court,lockleys,3850,nsw,19051023,3194253
lucy,drought,1,solander place,janefield,moonah west,4879,vic,19230101,7649261,lucy,crouch,15,wedgewood close,brentwood vlge,dorrvigo,2870,,19891201,3002608
lachlan,cicconi,17,waite street,,loftus,3108,vic,19200324,1514534,lachlan,lanyon,33,maranao street,,elsternwick,2228,wa,19950930,4086155
lachlan,cicconi,17,waite street,,loftus,3108,vic,19200324,1514534,lachlan,mandry,3,richardso street,lakechatsworth,christies beach,2004,tas,19220410,1565982
lachlan,cicconi,17,waite street,,loftus,3108,vic,19200324,1514534,lachlan,bloomfield,22,northbourne avenue,navillus,sherwood,4305,qld,19781007,5148084
lachlan,cicconi,17,waite street,,loftus,3108,vic,19200324,1514534,lachlan,grosser,68,st clair place,settle dons,st albans,4014,nsw,19330725,5961769
lachlan,cicconi,17,waite street,,loftus,3108,vic,19200324,1514534,lachlan,whte,81,gabriel place,sec 4 79,parramatta,3030,qld,19210910,2637042
channing,richardon,8,de graaff street,wattle place,tuart hill,4551,nsw,19840528,8184905,channing,ricahrdon,8,de graaff street,wattle place,rylstone,4551,,19840528,8184905
isabelle,thorpe,20,rischbieth crescent,north star resort,ross creek,2444,nsw,19720731,6747384,isabelle,geraghty,16,hawdonstreet,council accomm,theodore,4812,nsw,19861012,4201009
isabelle,thorpe,20,rischbieth crescent,north star resort,ross creek,2444,nsw,19720731,6747384,isabelle,allanby,32,valencia park,cooloola dtreet,loganlea,4012,nsw,19250322,2977259
keira,lowe,15,morant circuit,wilding,warburton,4061,qld,19900523,4044906,keira,zawistowski,18,symers street,irrigati on farm,kirribilli,7112,vic,19781026,7508567
joel,warneke,10,walsh place,corra-lynn,carrick,2529,nsw,19160910,4818906,joel,lace,33,bannerstreet,wombinoo station,highton,2559,nsw,19140416,3971456
alex,clarke,12,fiveash street,emerald garden,homebush,2321,nsw,19840627,7280280,alex,fitzpatrick,28,vancouver street,c/-the studexnt village,coomalbidgup,2229,nsw,19240702,4146666
phoebe,millar,31,rayment place,concept,morwell,4064,qld,19230111,6425281,phoebe,melhm a,,gara pkace,hse 4,collie,7113,nsw,,8345956
sophie,dakin,11,correa street,upstairs flat,beachlands,5241,sa,19760414,2342666,sophie,campbll,61,belconnen way,hazel hill,,2323,qld,19210520,9019644
sophie,mason,22,sturgess place,acadia,pacific paradise,3215,nsw,19790301,2531438,sophie,campbll,61,belconnen way,hazel hill,,2323,qld,19210520,9019644
andrew,iovino,21,seddon place,civic centre,millers point,2763,nsw,19560823,3865428,andrew,white,12,sawtell vet hosptl & clnc,hyndes crescent,blair athol,6070,wa,19620801,6464292
andrew,iovino,21,seddon place,civic centre,millers point,2763,nsw,19560823,3865428,andrew,large,29,swainsonas treet,buena vista,bicton,6022,qld,,9892920
nicholas,hoyland,45,shirlow place,jewells medical centre,wantirna,5049,vic,19200610,4052512,nicholas,campbell,23,birchallsetreet,karsul,carnegie,2587,act,19690319,1631489
nicholas,hoyland,45,shirlow place,jewells medical centre,wantirna,5049,vic,19200610,4052512,nicholas,desantis,114,badcoe street,unioncolalge,elermo re vale,3420,nsw,19970305,4864589
talia,dhara,81,kirkham place,lochenfels,bidwill,4160,wa,19700715,9048094,talia,lucadou wells,59,de little circuit,,forrestvield,4740,vic,19560221,2600068
