given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B
mitchell,wheatley,63,embling street,,mongarlowe,2795,qld,19641102,3016745,mitchell,maxon,47,edkins street,lochaoair,north ryde,3355,nsw,19390212,8859999
timothy,matthews,2,blandon place,harrowvale,mill park,3184,nsw,19560930,6083907,timothy,bishop,8,zox circuit,,lismore,2168,vic,19771008,3069847
lachlan,ryan,51,totterdell street,roseglen,dalby,3168,qld,19480724,7284475,lachlan-john,snelling,20,summerville crescent,,maldon,3206,vic,19660114,7931741
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,reid,11,,green lzgoon,camp hill,6026,vic,19671214,5483640
georgia,rees,40,maclaurin crescent,spring creek,fullarton,6233,nsw,19210305,5595588,georgia,clarke,278,blowerinb street,dunfieldpark,port pirie,6111,vic,19990330,3328605
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,lowry,80,kinchela crescent,rowethorpe,rossmoyne,2770,qld,19350708,6616912
,robson,10,flegg crescent,kuliup,woongarrah,3149,nsw,19880603,6084403,,noble,10,costello circuit,the manor braeside,bicton,2290,qld,19710327,9357658
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
,muthukuda,11,waratah street,keira,thornlie,0820,vic,19890328,5670243,,braithwaite,29,tweed p lace,brileen,cabramatta,5051,vic,19740815,8052512
ben,nguyen,17,tipiloura street,centenary marketplace,bayview heights,2049,nt,19731201,1783041,ben,conick,,marsden rtreet,,page,3108,nsw,19760130,5241188
samantha,white,9,tillyard drive,tieve tara,hawthorne,3068,vic,19310120,8686735,samantha,leong,124,,tilburoo,wantirna,3046,qld,19670430,2292707
caitlin,basey,414,pelsart street,st francis vlge,daisy hill,2113,nsw,19110711,7811311,caitlin,basey,414,pelsart street,st francis vlge,daisyh ill,2113,nsw,19110711,7811311
riley,rees,9,archibald street,wispering pines,coonabarabran,5162,wa,19700922,4932145,riley,ree,9,archibald street,wisperin gpines,coonabarabran,5162,wa,19700922,4932145
liam,schwaz,1005,elvire place,narada,bronte,2137,tas,19470324,4505367,liam,jolly,10,endeavour sreet,pinnacles caravn park,mansfield,7310,qld,19931105,2506329
riley,landow,43,hannaford street,wattle tree,marayong,6025,vic,19971031,4812402,riley,ree,9,archibald street,wisperin gpines,coonabarabran,5162,wa,19700922,4932145
benjamin,lovelock,1,tanumbirini street,apmnt 203,willetton,4570,nsw,19980628,6282406,benjamin,campbell,159,corrigan yplace,,thornbury,2300,nsw,19870227,4459447
ethan,miell,,barwell place,oreel,ashfield,3941,sa,19830725,2215887,ethan,hand,1,lambrigg sitreet,rainmore,sout perth,5075,vic,19411222,3559682
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,avdic,8,archdal l street,nioa,nunawading,3134,nsw,19200415,9571448
ethan,miell,,barwell place,oreel,ashfield,3941,sa,19830725,2215887,ethan,marson,40,catumbel lodge,tinaroo place,hoppers crossing,2035,vic,19100123,9238396
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
