given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
harrison,george,,woronora street,south melbourne market,kangaroo flat,2450,nsw,19370115.0,3711821,harrison,george,,woronoar street,south melbourne market,kangaroo flat,2450,nsw,19370115.0,3711821,1
zachary,white,97.0,witt place,villa 74,laurieton,2206,vic,,8708647,zachary,webb,97.0,witt place,,laurieton,2206,vic,,8708647,1
jack,steinert,61.0,french street,meadows estate,adamstown,4350,vic,19460712.0,3691990,jack,ryan,22.0,echo place,folsocit,loganohlme,2749,wa,19400114.0,1449566,0
,kowald,3.0,hindmarsh drive,green desert,greenwood,2016,sa,19440126.0,8957090,,mcigrr,1170.0,graham street,hopedield,yangebup,3414,vic,19060702.0,7139205,0
benjamin,blake,11.0,tantangara street,summit cottage,oaklands park,2640,wa,19270916.0,6285591,benjamin,miles,,totterdell street,poplar bend,acton,6317,qld,19830303.0,4385595,0
campbell,webb,63.0,wade street,ra 939,mount crosby,3152,nsw,19981022.0,3000281,campbell,webb,63.0,wade street,,mount vrosby,3152,nsw,19981022.0,3000281,1
michael,rawlings,1554.0,millen street,the homestead,coolbellup,2750,sa,19170417.0,6689349,michael,rawlings,1554.0,millen sy ryeet,thehomestead,coolbellup,2750,sa,,6689349,1
thomas,grooby,6.0,noel ryan garden,emu ground,new lambton heights,2460,nsw,19640331.0,3528341,thomas,macphail,33.0,rose scott circuit,glen ayre,stuart,4000,vic,19021218.0,6364936,0
brooke,green,14.0,laker crescent,sapri,whittingham,2166,wa,19920111.0,6640023,brooke,hendricks,34.0,lake downs super fine merino stud,eucumbene drive,narooam,3179,nsw,19450517.0,6179346,0
shai,lock,20.0,arabana street,kyeema vineyard,melville,6065,nsw,19820129.0,9117058,shai,lock,20.0,arabanajstreet,kyeema vineyard,melville,6065,vic,19820129.0,9117058,1
isabella,waller,155.0,blackburn street,omeo,brighton,5035,vic,19500719.0,7270771,isabella,matthews,48.0,,corporate house,armidale,6061,qld,19060809.0,1255415,0
,painter,60.0,cockle street,tantallon,casula,3064,nsw,19181001.0,4954628,,durban,63.0,ormond street,,narrogin,3284,vic,19010130.0,3247158,0
alyssa,coleman,9.0,marsden street,main beach medical centre,rowville,4556,qld,19260829.0,5376425,alyssa,coleman,9.0,marsden street,main beach med ical centre,rowville,4556,qld,19260829.0,5376425,1
erin,clarke,96.0,teakle place,,granville,3040,wa,19170313.0,8285633,erin,kunoht,131.0,wyselaskie circuit,,wendoryee,6107,vic,19340721.0,4791842,0
bailey,haack,56.0,heysen street,goolman street,cronulla,2480,nsw,19171029.0,5238749,bailey,haack,56.0,heysen street,goolmanstreet,cronulla,2480,nsw,19171029.0,5238749,1
angus,godfrey,1.0,lamington street,ulc 4,pannawonica,5607,vic,19050930.0,8426472,angus,godfrey,1.0,lamingtons treet,ulc 4,pannawpnoica,5660,vic,19050930.0,8426472,1
mitchell,wheatley,63.0,embling street,,mongarlowe,2795,qld,19641102.0,3016745,mitchell,wheatley,53.0,emblingqstreet,,mongarlowe,2795,qld,19641102.0,3016745,1
thomas,white,42.0,cochrane crescent,balmoral garden,sefton,3136,qld,19800413.0,1153372,thomas,slack-smith,106.0,hawkenstreet,emmaus vlge,kirwxn,2566,vic,19900607.0,2094894,0
james,worsley,1.0,pike place,melaleuca,broadmeadows,4818,nt,19651211.0,5706752,james,worsleyw,1.0,pike p lace,melaleuca,broadmeadows,4818,nt,19651211.0,6697804,1
jack,bridgland,170.0,thermeda place,mirreanda,berkeley vale,2286,nsw,19980721.0,2930436,jack,rudd,4.0,limestone avenue,orcadia park,hoppers crossing,5007,nsw,19086018.0,3984278,0
lachlan,crouch,21.0,northbourne avenue,navillus,sherwood,4305,qld,19781007.0,5148084,lachlan,boothroyd,101.0,elkington street,witsend,waterloo,6085,sk,19600904.0,5764782,0
