given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
joshua,every,14.0,scoble place,hawkins masonic vlge,gray,4216,nsw,19241220.0,9182595,joshua,akot,8.0,edmunds place,villal18,dapto,6071,vic,nan,3188786,0
emiily,rankine,32.0,blackham street,sapri,campbelltown,5068,vic,19060404.0,3688640,emiily,mchnery,1.0,hurwooplace,paramatta park,leeton,2228,nsw,19550504.0,1357509,0
noah,george,3.0,steinwedel street,glendale stud,gumdale,6020,vic,19270723.0,7682028,noah,boyle,11.0,doolandcouhrt,nan,flowerdale,3163,vic,19260331.0,7756654,0
ruby,hulley,nan,knaggs crescent,strabane,bayswater north,2283,wa,19201008.0,3808150,ruby,donalsdon,42.0,nan,glenbrook orchard,appin,2035,tas,19141014.0,3742981,0
harrison,boulter,9.0,macgregor street,stonyridge,cecil plains,3070,nsw,19110312.0,5094110,harrison,snellin g,50.0,sproule circuit,yalkara,emerald,4216,nsw,19410412.0,1348871,0
caleb,kwiatek,16.0,gatty street,villa 2,castle cove,4220,qld,19641121.0,5138480,caleb,fitzpagrick,10.0,laughton stzreet,manor park,thornbury,6258,vic,19040922.0,3284048,0
mia,burford,4.0,starling place,dutch care hostel,lawson,2257,vic,19040422.0,9377441,mia,leane,3.0,hobart avenue,budgerie,ballarat,4608,nsw,19841029.0,4638734,0
emiily,paine,26.0,bussell crescent,koyo,karratha,3977,vic,19750805.0,7519967,emiily,perduns,19.0,wilkins street,yenda unts,broken nill,3124,nsw,19990108.0,5105163,0
ethan,miell,nan,barwell place,oreel,ashfield,3941,sa,19830725.0,2215887,ethan,coleman,64.0,ragless circuit,nan,hindmarsd west,4701,nsw,19650701.0,9807949,0
sophie,noble,9.0,university avenue,shenstone park,albion park,3325,vic,19361013.0,3379987,sophie,paterson,15.0,glynn street,family day care,lethbridge,6026,nsw,19850726.0,3382181,0
joshua,coleman,16.0,mosman place,aralee,kooyong,3431,nsw,19501024.0,2640319,joshua,crouch,94.0,forbes street,nan,johnsonville,2327,sa,19700216.0,4813329,0
jessica,andretzke,14.0,chowne street,st francis village,lilydale,3134,qld,19340225.0,6331022,jessica,kranz,nan,the mews royalhhotel bldg,brunton street,norwood,5159,sa,19880226.0,7412923,0
samantha,stanley,16.0,jay place,knackery rhs,kingston,6330,vic,19951027.0,2725144,samantha,glass,40.0,whistler place,foxlvea,evans head,5480,wa,nan,3783154,0
sophie,noble,9.0,university avenue,shenstone park,albion park,3325,vic,19361013.0,3379987,sophie,maynard,41.0,clancy street,inglewood,springwood,2600,wa,19690527.0,5566144,0
nan,reid,11.0,alt crescent,green lagoon,camp hill,6026,vic,19671214.0,5483640,nan,durbridge,64.0,macarthur avenue,little pddocks,albury,4680,nsw,19820308.0,4922810,0
nan,vincent,47.0,kent street,blue hills,forest hill,4655,vic,19190304.0,5807175,nan,wanders,453.0,louis loder street,hilltop iew motel,avoca,2284,qld,19120509.0,3198280,0
michael,leslie,2.0,kirwan circuit,blenmore,bangor,3150,qld,19350423.0,7283233,michael,maclennan,6.0,richmond street,lake downs super f ine merino stud,emu plamins,5279,qld,19390409.0,1643013,0
nan,gilbertson,5.0,goodwin street,court units,ethelton,2193,qld,19020904.0,2879807,nan,braithwaite,29.0,tweed p lace,brileen,cabramatta,5051,vic,19740815.0,8052512,0
nan,priest,41.0,marsden street,nioka,broken hill,2340,nsw,19060617.0,7169908,nan,kars,120.0,gurrang svenue,nan,rosslea,3241,vic,19880426.0,5932561,0
noah,cadman,20.0,kingsmill street,mirra monte,ulverstone,4614,qld,19200119.0,1543323,noah,menzhies,18.0,bingley crescent,east lynn,abbotsford,870,nsw,19391026.0,1502043,0
nan,ryan,17.0,nelson place,toowoomba,croydon north,860,nan,19610701.0,2369541,nan,mccarthy,42.0,oliver s treet,brentwo od village,cherrybrook,2880,vic,19350103.0,5462917,0
sophie,bevis,8.0,bungonia street,fernlea,ringwood east,2541,vic,19820602.0,4133682,sophie,maynard,41.0,clancy street,inglewood,springwood,2600,wa,19690527.0,5566144,0
joshua,sherriff,159.0,cosgrove street,sun city resort,bligh park,2035,qld,nan,6454105,joshua,stalney,1.0,weddin circuit,rocklands,cabraatta,7320,nsw,19381229.0,5425400,0
william,doman,7.0,copland drive,grandview,adamstown,2325,vic,19810208.0,5779269,william,nan,32.0,doonkuna street,colomie,dululu,4560,nan,19860326.0,9704755,0
nan,clarke,nan,edkins street,conmurra,robina,2162,nsw,19360520.0,2120525,nan,gibb,35.0,tenison-woodsr circuit,the j gms,adamstown heights,6333,nsw,19090430.0,3651633,0
noah,mason,29.0,william hudson crescent,court units,elwood,3155,sa,19500215.0,8353213,noah,fusco,65.0,kruseplace,thepoints h olsteins,kununurra,3400,nsw,19490107.0,9136935,0
