given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B,match
mackenzie,sherriff,34.0,pirani place,nan,scarborough,2094,nsw,19610123.0,8088200,michael,stagoll,65.0,tyson street,bypass road,cleveland,3150,nsw,19190521.0,3941516,0
kyle,clarke,19.0,archibald street,little forest,florey,4109,qld,19380419.0,6477305,jacob,ryan,5.0,wheeler crescent,melrose clinic,cooaroo,3198,nsw,19581209.0,8497762,0
maxin,tchung,10.0,pullen street,emmaus vlge,cabarlah,3620,qld,19060604.0,6340831,nicfholas,champion de crespign,8.0,deuchar lcose,lanena lodge,ryde,3181,qld,19230403.0,3235310,0
ethan,mccombe,624.0,mcnamara street,copely,tailem bend,4740,wa,19020126.0,1088335,rachel,karlovcec,5.0,alberga street,nan,eastern heights,3228,nsw,19250114.0,9531225,0
ruby,hentze,30.0,harkness street,glenearra,florey,4178,sa,19030606.0,2379739,matteus,wilde,13.0,cumberleg ecrescent,nan,bourke,4740,qld,19260702.0,7889277,0
jasper,bysord,5.0,cann close,nan,boondall,7120,qld,19570724.0,7152705,beau,zeitzen-van der burg,nan,william webu drive,kilnesy,bundaberg,6489,nsw,19500927.0,5594467,0
lauren,hilton,16.0,grayson street,glenmore,corio,2645,wa,19150223.0,5611249,caitlin,basey,414.0,pelsart street,st francis vlge,daisyh ill,2113,nsw,19110711.0,7811311,0
aleesha,reid,21.0,cadell street,eventide homes,trafalgar,2582,vic,19840824.0,6890084,katelyn,goldsworthy,10.0,meyers place,tinnaroo falls,bnudamba,3127,qld,19880820.0,1519466,0
mitchell,les,8.0,dexter street,blythelands,upper coomera,2011,nsw,19430227.0,9870170,kalli,froscio,23.0,fergusson drescent,wirruna,manyama,6530,wa,19680403.0,3617186,0
noah,cronshaw,55.0,tristania street,nan,rowville,4610,nsw,19690202.0,9453034,joshua,white,60.0,gabriel place,the maedows,liyldale,2044,vic,19230819.0,5884108,0
talena,blackwell,nan,onkaparinga crescent,nan,elsternwick,4702,wa,19230602.0,5796259,harrison,stirland-mitchell,176.0,badimars street,wirreanda vlge,port augusta,2196,qld,19040106.0,3551585,0
georgia,reid,15.0,flower place,rainmore,forest hill,7301,nsw,19970612.0,7201701,solomon,morrison,67.0,jarrahdale street,yalda ra,empire bay,2907,qld,19400406.0,5013206,0
deakin,dooley,52.0,moulder court,highgate,dundowran,3113,qld,19111113.0,9047714,tommy,matthews,62.0,quirosrstreet,li ft,north ryde,2229,wa,19051224.0,9644815,0
erin,buttrose,487.0,greeves street,aprt 22,clarkson,5172,vic,19810203.0,5640265,sascha,matthews,5.0,canopus crescent,willalooka,asquith,7250,nan,19670719.0,7320513,0
judah,clarke,27.0,duncan street,table mountain,aspley,4670,nsw,19190222.0,7875071,bradley,everett,13.0,greenough circuit,miowera,caves beach,2267,nsw,19660606.0,8990768,0
caitlin,de boar,21.0,crisp street,section,jan juc,5400,nsw,19460307.0,3080624,lily,poskey,38.0,moore o lace,kenbar,lower templestowe,2474,nsw,19210315.0,8556979,0
eliza,campbell,113.0,dines place,villa 74 village glen,figtree,2770,nsw,19651205.0,1754771,keaton,webb,2.0,mckinleycircuit,solitaire,lemon tree passage,3943,nsw,19850328.0,6634675,0
thomas,shepherd,12.0,newdegate street,dorothy genders vlge,lalor,2830,nsw,19100812.0,1744115,chloe,bryce-waston,9.0,kelleway avenue,environganic farm,dutton park,2144,nsw,19720802.0,2226510,0
emiily,rankine,32.0,blackham street,sapri,campbelltown,5068,vic,19060404.0,3688640,lachlan,rau,68.0,loxton place,montrose,dedearng,3377,wa,19260502.0,1638351,0
breony,webb,10.0,lewis luxton avenue,court units,duncraig,4216,nsw,19680529.0,8214196,caitlyn,pallot,149.0,pine islan road,nuffield village,hightbon,2792,nsw,19660115.0,3051696,0
william,white,34.0,mortlock circuit,ponderossa,chinchilla,3156,sa,19800517.0,1549841,christopher,frew,10.0,ringrose c rescent,locn 1996,lilydale,4096,tas,19321022.0,6674665,0
jarod,morrison,13.0,broadsmith street,spylaw farm,caulfield,3614,wa,19201230.0,3314025,ebonie,myles,262.0,inlander crescent,nan,albany creek,2250,qld,19300201.0,8494390,0
shawn,boothroyd,19.0,melrose drive,rowethorpe,oak park,2166,sa,19700418.0,8329531,laurn,berryiman,nan,doyle terrace,canberra avenue,menitndee,3016,vic,19390528.0,8295272,0
nicholas,bruinewoud,335.0,shakespeare crescent,marandyvale,kareela,2577,nsw,19621123.0,1642628,nan,milla,1.0,bandulla street,sherwood,forcett,3463,tas,19580204.0,7520191,0
brigette,siviour,19.0,bromley street,rowethorpe,parramatta,3204,nsw,19691123.0,4393770,lucy,rees,78.0,galveston,badenoch crescent,macquarie fields,3076,nsw,19230613.0,8204200,0
jessica,regalado,nan,clive steele avenue,edge hill,devonport,6076,qld,19441202.0,2223697,christopher,nan,39.0,haugh place,athlone,blacktown,3766,nsw,19230116.0,8362475,0
lucas,thorpe,25.0,port jackson circuit,nan,eimeo,6255,sa,19320715.0,2374689,michael,sei,49.0,spain place,heritage est,carine,3802,tas,19520914.0,7908615,0
bridget,burford,14.0,gibb place,melaleuca,greenwood,3280,wa,19090212.0,4048860,le ah,huxley,4.0,knoke avenue,nan,minto,2782,nsw,19680903.0,4353919,0
ethan,beckwith,26.0,hirst place,miniacres,morphettville,4870,qld,19981113.0,9473353,marcus,roddik,46.0,stonehouse,fullerton crescent,cashmere,2753,vic,19381222.0,7785247,0
matisse,mccaffrey,164.0,throssell street,argyle,woy woy,6012,vic,19961123.0,3108714,polly,nguyen,278.0,raiwallacourt,willaroo,beaconsfield upper,3029,qld,19260902.0,8797418,0
nan,koteschel,3.0,mayne street,grey oaks,swan view,4305,vic,19430808.0,1393004,saprgo,rory,34.0,stephen tsreet,nan,beaumont,3550,vic,19930424.0,5396235,0
michael,bartel,6.0,chewings street,buena vista,sea lake,2777,nsw,19550822.0,9818191,thomas,mcauslan,14.0,trugani ni place,nan,bongaree,5064,nt,19801028.0,8944611,0
meg,herbert,162.0,callister crescent,villa 2,burrum heads,3078,sa,19101126.0,6887725,tyler,walchg,26.0,pither close,warbinyq,st ives,3871,vic,19650916.0,5533620,0
henry,greenhalgh,2.0,elizabeth crescent,murray vale u p a,shorncliffe,4516,wa,19670212.0,3335029,ella,wisy,91.0,kingscote crescent,nan,homebjsh,2291,wa,19920720.0,9301098,0
liam,cullens,121.0,chandler street,the burrows,safety bay,3073,qld,19910811.0,7828812,mitchell,trowse,22.0,boolee street,john flynn medical centre,malvern,4350,vic,19640225.0,4579159,0
taliah,campbell,418.0,bean crescent,warramby,hoppers crossing,4280,qld,19601111.0,3013090,sarah,leslae,740.0,baddeley crescent,flt 10,jamboree heights,4053,vic,19110604.0,7593106,0
zachary,clarke,19.0,melrose drive,jemular downs,whitfield,7000,wa,19680624.0,3444095,waller,caleb,32.0,fowles street,jandarra,mill park,2735,nsw,19460702.0,8515576,0
mitchell,dunnicliff,20.0,illingworth street,brbe is retmt vlg,penrith,3162,nsw,19350411.0,5567119,charlotte,wilde,28.0,warwarick,diamond street,werrington,2220,qld,19001117.0,4847191,0
april,wehr,1.0,ellerston avenue,darlington,joondanna,2150,wa,19941109.0,2560536,geogia,simmovnds,16.0,hurley street,iowana,mittagong,2100,nsw,19230413.0,5714791,0
daniele,campbell,20.0,freehill street,botin,towradgi,7000,vic,19400817.0,6050678,elizabeth,wojciechowski,16.0,walkercerscent,nan,winston jills,3066,nsw,nan,6972527,0
rachel,jukic,9.0,blandon place,clear creek,kangaroo flat,2229,wa,19880430.0,2851372,mitchell,longo,52.0,faucett dtreet,beagle bay,wamuran,3139,nsw,19760429.0,4714885,0
jessica,fabel,28.0,hilder street,mount beauty,glenlee,2116,sa,19140806.0,5932691,simone,clarke,105.0,lambriggstreet,nan,kirribilli,2765,nsw,19930504.0,6453396,0
christian,reid,10.0,britten-jones drive,honey patch,moe,2250,wa,19870501.0,2773283,brokengshire,rosie,34.0,antill street,hse13,athelstone,2042,qld,19770815.0,3921318,0
hannah,witkin,32.0,mcinnes street,nan,lewiston,3134,sa,19690707.0,2339019,katie,noble,16.0,torrens street,old hiloside,rose bay,4510,nsw,19050728.0,6816111,0
caitlyn,pallot,149.0,pine island road,nuffield village,highton,2792,nsw,19660115.0,3051696,patrick,wasley,8.0,barwon srteet,llangollen,winmalee,2538,nsw,19860312.0,9514502,0
breony,aujard,166.0,florence taylor street,clear creek,flinders park,3151,vic,19870124.0,4700161,lachlan-john,spears,165.0,o'connor circuit,kondalilla,risdon park,6064,qld,19950105.0,2408582,0
christian,drechsler,75.0,white crescent,nan,summer hill,7018,sa,19580327.0,1471940,kylee,pennell,1.0,nan,nan,nan,4570,sa,19000320.0,4020041,0
jayden,white,10.0,mcclintock street,kinvarra,melville,4380,nsw,19590819.0,2360230,jessica,mayer,25.0,dugan street,nan,nambour,6056,sa,19340201.0,3346974,0
gianni,white,34.0,max henry crescent,maf-ue arabians,ballarat,2680,nsw,19501101.0,4846207,james,hebberman,26.0,phillis lace,twenty-third avenue p harmacy (cnr mawarr,ettalong,2326,vic,19760410.0,1748689,0
maya,bibby,40.0,monaro crescent,learning earth farm,deer park,3148,qld,19720418.0,1185491,ameljia,lowry,54.0,jandamarra street,ellwood,kinglake east,4280,qld,19231009.0,2439451,0
sophie,masolatti,67.0,lyndon street,locn 217,wynnum west,2022,sa,19320713.0,4414033,courtney,clarke,24.0,myles connell crescent,nan,northgate,4621,nsw,19410813.0,8144739,0
andrew,madigan,69.0,blackwell circuit,tintagel,dianella,820,sa,19871218.0,5096835,sarah,campbell,6.0,loddon street,nan,miasmi,3227,qld,19321221.0,5872484,0
pino,shepherd,55.0,warragamba avenue,pineview farm,sale,5608,vic,19100226.0,5952587,emma,frencham,157.0,hayball place,nan,punchbowl,4018,qld,19170628.0,2070987,0
damien,finlay,150.0,pethebridge street,rosetta village,samford valley,2119,vic,19020614.0,3997416,rebekah,green,14.0,laker crescent,nan,whittinhgam,2166,wa,19920111.0,4383145,0
harrison,snelling,50.0,sproule circuit,yalkara,emerald,4226,nsw,19410412.0,1348871,spencer,bates-brownsword,151.0,tora,pinkerton circuit,smithfield,4860,nsw,19810308.0,5402648,0
andrew,berry,70.0,galibal street,blue haven village,ascot,5606,sa,19540522.0,4799173,harry,gaden,25.0,nan,musgrave house,surry ills,3216,vic,19770407.0,5999211,0
jacob,careless,33.0,nan,bolaro,coolaroo,6059,wa,19770706.0,7248157,daniel,chandlr,31.0,porteous cuescent,northaven,ashwood,2152,vic,19410825.0,3631138,0
taliah,armanini,23.0,lind close,telebang station,matraville,4021,vic,19210204.0,4931434,peytfon,mars hal,53.0,arabana street,nan,plympton south,4156,nsw,19950916.0,3348499,0
robert,tiller,14.0,parfitt crescent,mariner views,ringwood,2540,wa,19590714.0,1579290,hayley,white,nan,medley tsreet,raymond terrace market place,regents park,2656,vic,19391111.0,6020101,0
william,parr,46.0,stieglitz circuit,nan,coromandel valley,6210,qld,19100815.0,1269870,charlotte,scatgini,4.0,miller street,sunset,south melbourne,6011,nsw,19540114.0,4866579,0
oscar,lowe,30.0,ranken place,bayview caravn park,bondi junction,2150,nsw,19710617.0,6682996,isabeola,bowerman,22.0,aspinall street,campaspe,northbr idge,2913,nsw,nan,5138593,0
caitlin,mitton,6.0,arthur circle,george forbes house,sale,3182,vic,19260517.0,4276696,braiden,parr,15.0,raiwalla court,st francisivillage,kriwan,2444,vic,19960327.0,7031748,0
jye,humphreys,25.0,maynard street,nan,berala,6057,vic,19670801.0,9902860,zachary,coffye,21.0,fellows street,brigalow court,kariong,5301,qld,19240219.0,4912880,0
joshua,seddon,1.0,murranji street,parkridge villa,slacks creek,2650,qld,19090214.0,3661114,barnaby,godfrey,18.0,hopegood place,ostesr,brighton,5086,nsw,19461029.0,9137216,0
thomas,bruhn,21.0,namadgi circuit,mariner views,slacks creek,4670,wa,19540821.0,1246505,radic,seanna,1497.0,morgan crescent,emu hill,mannering park,2207,wa,19850309.0,6650779,0
brooke,waller,25.0,goyder street,watchorns hill,st lucia,3995,wa,19680216.0,5166618,beau,zeitzen-van der burg,nan,william webu drive,kilnesy,bundaberg,6489,nsw,19500927.0,5594467,0
connor,petrillo,46.0,roebuck street,oakdale,boronia heights,7051,vic,19400425.0,8000924,nan,clarke,117.0,hurley street,weemilah,tallebugdera,4021,vic,19010403.0,4822857,0
matthew,roche,67.0,orchard place,foveaux terraces,mill park,3850,vic,19040419.0,6928752,ell,campbell,873.0,connibere crescent,albion heights,bronte,4078,nsw,19591030.0,8840175,0
